feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ed962067f3d3472675d24f92d6dda3b0	SampleType	Sample	-6.2130840075914	0.263501639555114	17	9	2.86989726277989e-13	6.9652406567668e-10
X06dbffb3667d421322f3cdc067c1bb95	SampleType	Sample	-6.47982022508773	0.421880419164966	17	15	1.38908838897262e-10	8.42829380009138e-08
X1d52609177ce303a019c3ee3f9142239	SampleType	Sample	-4.37793633759015	0.283511810779385	17	9	1.2876929968366e-10	8.42829380009138e-08
X0f46c35d6629feaffa5e8f4b256e255b	SampleType	Sample	-4.84986695376459	0.301617426692522	17	9	7.24985748097116e-11	8.42829380009138e-08
c50b0835bf381d4453071f135ed88b39	SampleType	Sample	4.14604199818292	0.302010503388311	17	10	6.73506019803904e-10	3.26919822012815e-07
e6801e54dd3a2654fc19dab0af47c35c	SampleType	Sample	4.48522208653767	0.347496467289974	17	16	1.58663859180743e-09	6.41795310386106e-07
X01b65b807c4e7fdf80dc247b058c652b	SampleType	Sample	-4.22856074537335	0.347647636022875	17	14	3.59259496974542e-09	1.24560399879602e-06
X9c872286b28ea46be348ce877c3c656d	SampleType	Sample	4.48543366377526	0.375532456495559	17	14	4.60695147001703e-09	1.39763390221642e-06
e3bd4c321c5364d01871ebb503a1dc7e	SampleType	Sample	-4.51624311404902	0.415424541206771	17	17	1.64677086178198e-08	3.99671288154485e-06
X2f5f939a9cb1a84c481d0d730257edfc	SampleType	Sample	3.87000109819891	0.35479531965559	17	11	1.57474355205363e-08	3.99671288154485e-06
X5d10eace291cd6e21a10aa0b539c6675	SampleType	Sample	4.36413665096817	0.438954772691167	17	13	5.39325853443349e-08	1.18994895118819e-05
X2b6e42bf9200244b950fdda2491dd4ca	SampleType	Sample	-2.92371103324049	0.338803275303139	17	8	3.34690409770956e-07	6.76911353761759e-05
f690e76a3de3a7b1cd99d01daef0d027	SampleType	Sample	-2.90608707614664	0.347419479324904	17	9	4.95126797668717e-07	9.24363644570751e-05
X11b7c459db9e25981b9e929a8098b1d9	SampleType	Sample	-2.48316558719323	0.300553506279264	17	9	5.77744644173604e-07	0.000100156160814953
dc186c356120425c8b044a49772944c6	SampleType	Sample	-3.72278748088595	0.474829791482681	17	11	1.10292046274658e-06	0.000174527740170985
X2c674dd5dcc493fc0bad82c12f46397e	SampleType	Sample	-1.83653358161931	0.235056367807769	17	8	1.15057430685445e-06	0.000174527740170985
X6e0546931ed7eab1f41201aabb92be68	SampleType	Sample	3.24855177619863	0.424114273885499	17	10	1.46483417540299e-06	0.000187113291773845
X0ba0d4c5a289facc80e0e481377a9e18	SampleType	Sample	-2.62881741326043	0.342966838735277	17	8	1.45256239987058e-06	0.000187113291773845
X3c0deb5ca627c2080a4a80c7d89c6096	SampleType	Sample	-2.41707056268713	0.313646612998578	17	8	1.36059738821402e-06	0.000187113291773845
dee7e9e6328e4af5e481f88a1f796b2a	SampleType	Sample	-3.14290249213126	0.442705898168949	17	8	3.62870698493222e-06	0.000440343592621525
X7d372fe772be67fbd518123f6300b372	SampleType	Sample	-3.49237577385737	0.506500929152561	17	16	5.10301210016117e-06	0.000589762398432912
X4d833bf0162967d91310d1a93db92ed2	SampleType	Sample	4.48230794448465	0.684802254644978	17	10	9.27081724352501e-06	0.000978272758697182
X10821628e3e458fde4ded1a39c3926af	SampleType	Sample	3.56812077870964	0.543683022367861	17	11	8.99489272465436e-06	0.000978272758697182
b5cd41c77bc4eb8356b15ed52bb1cf5d	SampleType	Sample	-3.2600255069134	0.505812982907357	17	16	1.10361655141446e-05	0.00111603223761788
cf2752910266aa9986d441f815389f2c	SampleType	Sample	-3.86213121459872	0.638549739521163	17	15	2.22982655385811e-05	0.00208145732546678
X44cc17826fd7cbbd611d6ba70982a3e9	SampleType	Sample	3.64527346140827	0.601171495033025	17	11	2.16917955407758e-05	0.00208145732546678
f7460ef647b461ee5ad49fbeb5705652	SampleType	Sample	-3.69980841139828	0.618616231687506	17	15	2.51865125535952e-05	0.00226398762842873
f716fb59c9bee1b0c02ad64865f0de70	SampleType	Sample	-3.09730588911853	0.525535019627779	17	8	2.95030408984873e-05	0.0025572814378796
X46be24de915fbc76ac5ab88523cb7235	SampleType	Sample	-2.51066179621999	0.427855882829462	17	11	3.09131771520831e-05	0.00258711313614157
d9f3cd010e62ed14267428e00eb063af	SampleType	Sample	-1.80245183971585	0.310197295738484	17	7	3.43302990075213e-05	0.00277732118970847
X36fa32bf1591f6e26e457bdd4c882661	SampleType	Sample	3.91347743013832	0.688699546347576	17	13	4.34722051038484e-05	0.003297095055845
e02ad2cc899cc62e9a5df522a8e3c451	SampleType	Sample	-3.76980657582955	0.661706436334752	17	8	4.23081647724348e-05	0.003297095055845
X4bdc1afca33aabf7e6ffccfb3989baba	SampleType	Sample	-3.02284272205455	0.548975406060639	17	8	6.0333342311335e-05	0.00443724308453364
d3a60d931aed828666a7818a3da0ee38	SampleType	Sample	-2.51558728291715	0.466482538360123	17	10	7.47127526596493e-05	0.0053331720795579
X450b0f9dbaf395de258b2b6c62a5f5aa	SampleType	Sample	2.41301119036809	0.464271515249083	17	8	0.000108288048682883	0.00750900269009595
X811b45d386b7b6dd81665a0bac6761d6	SampleType	Sample	4.84533308124431	0.944709205588433	17	17	0.000123488437246437	0.00804898215350589
X29d249d9deca741ac3ed4eea1e7819ff	SampleType	Sample	-1.47820167290873	0.288804836311878	17	7	0.000126024442452915	0.00804898215350589
X495eb06d2fa84bc70027d6a048f86977	SampleType	Sample	-4.40604962242768	0.856719978900549	17	9	0.000120208439723426	0.00804898215350589
X19483975848ef1e1f6ba304df2b90196	SampleType	Sample	3.69103350512921	0.735202588390212	17	10	0.000152226283744937	0.00947315873458876
a86091032bf65639a7bae7d5232f0378	SampleType	Sample	2.28333709154434	0.458211419697945	17	10	0.000163627855579049	0.00992812013725882
X9bd20c6dd9e216eb9c62ab933e134da3	SampleType	Sample	2.14737077676794	0.438124660968964	17	12	0.000191867895739436	0.0113576434868198
cd595c4d4718f235de7afa8a4fb1d827	SampleType	Sample	1.90332307377103	0.390739102387283	17	17	0.00020351133374878	0.0117600477859116
X9695ab42557ea68383a7fa889b522976	SampleType	Sample	-1.9362363071085	0.402927231809155	17	7	0.00023141262707143	0.0130613592070316
c39fd6fc4661167fed13f8f1f43e9966	SampleType	Sample	2.49060238454642	0.529224251222458	17	8	0.000281296030808734	0.0155160333357454
X2d1a60b2982025a0959cff244436778b	SampleType	Sample	2.37398487904524	0.507871947725728	17	13	0.000299490368136106	0.0161525138548073
c8487b182705eaad35c8578b81969d20	SampleType	Sample	-2.15693800515437	0.475695741206415	17	17	0.000395365685743158	0.0208598373760575
X54bc24af2573a5765ab4ee324d1d63be	SampleType	Sample	2.55550105574533	0.575222374286525	17	12	0.000474648564792432	0.0245100439734305
X93e881f05978d18bc8c18f476ac8dd3a	SampleType	Sample	-3.40670733808563	0.773164515883639	17	15	0.000510543729505457	0.0258143673231197
a630681ba72a80c92a426efb3e574ab2	SampleType	Sample	-2.01856942686713	0.464128695458482	17	17	0.000572377317415865	0.0283501989667001
X2a75921d722ef2e9c11a55f7655f5fb1	SampleType	Sample	2.21544190216472	0.528241068694766	17	17	0.000782331569471031	0.0379743743821238
X041792056bd7be0d5d925d8a6546e833	SampleType	Sample	-2.67131446466117	0.649604279788652	17	15	0.000923113123018531	0.0430845297993456
X6052c6018dc1a0fb3bccec096b0d74b8	SampleType	Sample	-2.83503640422296	0.688815729437208	17	7	0.000916414137391709	0.0430845297993456
b5de712b93a82e4723968c0839061699	SampleType	Sample	-2.35420514138168	0.581472118623739	17	12	0.0010500694196693	0.0471947866951369
X90d45b2e65bd23f17189e9455878f884	SampleType	Sample	-1.31518940417439	0.324799664242419	17	6	0.00104893041533913	0.0471947866951369
X67b0631399914fc300a8246571dd2fc0	SampleType	Sample	2.79448005366776	0.694070900079578	17	12	0.00109914030164102	0.0485020638560502
X4c5d68fe9f0b36f32638abc717a65ad3	SampleType	Sample	-3.04275187656087	0.757418028680702	17	8	0.00111931412877597	0.0485102748310587
